event_id,train_id,event_timestamp,event_code,event_name,component,event_description,cluster_id
1,T456,2024-07-09 08:06:30.933766,93189,_PneuFlt_,M3_Gradino_Porta4,Avaria unita' pneum. gradino porta 4 M3,122
2,T456,2024-07-09 08:06:32.530656,ILCK_PROP_10,ILCK_PROP_10,VEHICLE,Cod. 10 Nessuna velocita' impostata,122
3,T456,2024-07-09 08:06:34.131522,ILCK_PROP_13M1,ILCK_PROP_13_M1,MDS,Cod. 13 Leva MC 6S01 non in trazione,122
4,T456,2024-07-09 08:06:38.994027,18201,CCU_FltWtbR2,VEHICLE,Mancata ricezione R2 in CCU M8,458
5,T456,2024-07-09 08:06:39.372731,151021,_LowSpdTL_,M1_9K42,Linea treno Velocita' zero  attiva in M1-T4,866
6,T456,2024-07-09 08:06:39.81923,18202,CCU_FltWtbComm,VEHICLE,Mancata comunicazione WTB in CCU M8,458
7,T456,2024-07-09 08:06:40.643068,150007,_Standby_,VEHICLE,Stato STANDBY attivo,458
8,T456,2024-07-09 08:06:40.955716,158021,_LowSpdTL_,M8_9K42,Linea treno Velocita' zero  attiva in M8-T5,866
9,T456,2024-07-09 08:06:40.960149,ILCK_PROP_01,ILCK_PROP_01,VEHICLE,Cod. 01 Max fren. di servizio richiesta da segnalamento,219
10,T456,2024-07-09 08:06:41.469234,150009,_Parking_,VEHICLE,Stato PARKING attivo,458
11,T456,2024-07-09 08:06:41.827903,ILCK_PROP_03,ILCK_PROP_03,VEHICLE,Cod. 03 Comando di frenatura da manipolatore attivo,219
12,T456,2024-07-09 08:06:42.292599,150026,_9S14_,VEHICLE,Pressione CP sotto 8.5 bar in M8 (press. 9S14),458
13,T456,2024-07-09 08:06:42.538566,ILCK_PROP_03,ILCK_PROP_03,VEHICLE,Cod. 03 Comando di frenatura da manipolatore attivo,866
14,T456,2024-07-09 08:06:42.696779,ILCK_PROP_04,ILCK_PROP_04,VEHICLE,Cod. 04 Condotta Generale scarica,219
15,T456,2024-07-09 08:06:43.119562,151014,_DCPantoSts_,VEHICLE,Pantografo DC alto in T2,458
16,T456,2024-07-09 08:06:43.564073,ILCK_PROP_05,ILCK_PROP_05,VEHICLE,Cod. 05 Taglio trazione da SSB attivo,219
17,T456,2024-07-09 08:06:43.943151,ILCK_IRIP_T2_68,ILCK_IRIP_T2_68,T2_MCB,Cod 68. Mancata comunic. WTB con semitreno remoto,458
