Cluster_ID;Codice;Nome;Componente;Descrizione;N_Events;Mean_Duration;N_Tuples;Occurrences
314;103036;_IDoorUnblock_;M3_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.04;153;153
314;103038;_IDoorDCSFlt_;M3_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.04;153;153
14;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;2;1.85;61;61
14;ILCK_PROP_13M8;ILCK_PROP_13_M8;MDS;Cod. 13 Leva MC 6S01 non in trazione;2;1.85;61;61
48;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;2;1.91;52;52
48;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;2;1.91;52;52
17;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;2;2.80;50;50
17;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;2;2.80;50;50
418;108028;_IDoorUnblock_;M8_Porta_gangway_1;Guasto microswitch porta Gangway;2;0.10;47;47
418;108030;_IDoorDCSFlt_;M8_Porta_gangway_1;Guasto microswitch porta Gangway;2;0.10;47;47
877;107028;_IDoorUnblock_;T7_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.00;47;47
877;107030;_IDoorDCSFlt_;T7_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.00;47;47
9;11050;_HVACcabNotOK_;HVAC_CAB_M1;Perdita di comunicazione con HVAC cabina M1;2;1.91;46;46
9;18050;_HVACcabNotOK_;HVAC_CAB_M8;Perdita di comunicazione con HVAC cabina M1;2;1.91;46;46
28;ILCK_PROP_13M8;ILCK_PROP_13_M8;MDS;Cod. 13 Leva MC 6S01 non in trazione;2;0.47;39;39
28;ILCK_PROP_22M8;ILCK_PROP_22M8;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;2;0.47;39;39
858;104028;_IDoorUnblock_;T4_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.00;39;39
858;104030;_IDoorDCSFlt_;T4_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.00;39;39
870;107036;_IDoorUnblock_;T7_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.06;38;38
870;107038;_IDoorDCSFlt_;T7_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.06;38;38
862;106036;_IDoorUnblock_;M6_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.00;36;36
862;106038;_IDoorDCSFlt_;M6_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.00;36;36
856;106028;_IDoorUnblock_;M6_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.52;34;34
856;106030;_IDoorDCSFlt_;M6_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.52;34;34
856;107036;_IDoorUnblock_;T7_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.52;34;34
856;107038;_IDoorDCSFlt_;T7_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.52;34;34
869;105028;_IDoorUnblock_;T5_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.00;34;34
869;105030;_IDoorDCSFlt_;T5_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.00;34;34
509;106028;_IDoorUnblock_;M6_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.12;33;33
509;106030;_IDoorDCSFlt_;M6_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.12;33;33
873;23062;DIO_DI_FL1;CONV_TRAZ_M3;H2O: FL1 - flusso circ. trattamento basso;2;0.43;32;32
873;23206;_H2OWarn_;TCU_M3;Guasto centralina idraulica TACU M3;2;0.43;32;32
35;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;2;0.39;31;31
35;ILCK_PROP_22M1;ILCK_PROP_22M1;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;2;0.39;31;31
888;151024;_Rear_;VEHICLE;Direzione indietro in M1;2;0.12;27;27
888;158023;_Front_;VEHICLE;Direzione avanti in M8;2;0.12;27;27
401;151021;_LowSpdTL_;M1_9K42;Linea treno Velocita' zero  attiva in M1-T4;4;3.16;26;26
401;158021;_LowSpdTL_;M8_9K42;Linea treno Velocita' zero  attiva in M8-T5;4;3.16;26;26
401;ILCK_PROP_08;ILCK_PROP_08;VEHICLE;Cod. 08 Loop porte aperto;4;3.16;26;26
401;ILCK_PROP_12M1;ILCK_PROP_12M1;MDS;Cod. 12 Rilascio Porte Sinistre Attivo;4;3.16;26;26
884;105028;_IDoorUnblock_;T5_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.29;25;25
884;105030;_IDoorDCSFlt_;T5_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.29;25;25
884;106036;_IDoorUnblock_;M6_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.29;25;25
884;106038;_IDoorDCSFlt_;M6_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.29;25;25
435;107028;_IDoorUnblock_;T7_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.62;24;24
